iter	MultiClass
0	1.3351896
1	1.292819856
2	1.254857286
3	1.218632655
4	1.192566499
5	1.161360375
6	1.134512075
7	1.1079382
8	1.086094958
9	1.059748657
10	1.037291724
11	1.02200279
12	1.002503796
13	0.981947893
14	0.9669554466
15	0.9452322515
16	0.9319827173
17	0.914027893
18	0.8936736025
19	0.8779256293
20	0.862161777
21	0.849325634
22	0.8351049997
23	0.8244752783
24	0.8063702035
25	0.7961170042
26	0.7849883556
27	0.7729378852
28	0.7652105548
29	0.7560593351
30	0.7468705672
31	0.7366588359
32	0.725930967
33	0.717618043
34	0.706798927
35	0.6997156299
36	0.6921738096
37	0.682263634
38	0.676246918
39	0.6657515831
40	0.6612339095
41	0.6492145285
42	0.643167816
43	0.6342270414
44	0.6272765765
45	0.619975779
46	0.6134850467
47	0.6078064262
48	0.6023998492
49	0.5959071415
50	0.5899707142
51	0.5833709036
52	0.5776791214
53	0.5733813139
54	0.5662966429
55	0.5604572958
56	0.5558956737
57	0.5517648343
58	0.5462703322
59	0.5401308413
60	0.5328846948
61	0.5254620533
62	0.521974094
63	0.5153190298
64	0.5084115775
65	0.5034346743
66	0.5012698607
67	0.49722947
68	0.4922628423
69	0.4864669542
70	0.4798795437
71	0.4751060438
72	0.4705275312
73	0.4662187007
74	0.4640494227
75	0.4598274597
76	0.4566282975
77	0.4518371112
78	0.4466801734
79	0.443750241
80	0.4406136233
81	0.4363218162
82	0.431192282
83	0.428353289
84	0.4245845731
85	0.4209641923
86	0.4149527661
87	0.4114955542
88	0.4070279446
89	0.4031643826
90	0.3998365472
91	0.3949062041
92	0.3908128059
93	0.3868486369
94	0.3835776833
95	0.3805173132
96	0.3768561803
97	0.3736635651
98	0.3699329184
99	0.3668462864
100	0.3643989748
101	0.360276742
102	0.3583723518
103	0.3562738956
104	0.3518274419
105	0.3474744762
106	0.3461128331
107	0.3427780411
108	0.3400403986
109	0.3380146404
110	0.3354171325
111	0.3324944858
112	0.3296100653
113	0.3274609637
114	0.3244450611
115	0.3218273442
116	0.3204511332
117	0.3188914775
118	0.3176911216
119	0.3150336792
120	0.313271241
121	0.3112607854
122	0.3091348301
123	0.3072931641
124	0.3052534823
125	0.3026942886
126	0.3002175149
127	0.2982501728
128	0.2964313911
129	0.2953644645
130	0.2939139808
131	0.2925111841
132	0.2890646242
133	0.2879283882
134	0.2850693861
135	0.282333671
136	0.2804265038
137	0.2791980568
138	0.2779191921
139	0.2765142684
140	0.2737487919
141	0.2713539108
142	0.2690531674
143	0.2669413522
144	0.2655368455
145	0.2637110775
146	0.261517981
147	0.2595149237
148	0.257362666
149	0.255138202
150	0.253026083
151	0.2517341964
152	0.2498250965
153	0.2484460866
154	0.2466789441
155	0.2446978079
156	0.2434014183
157	0.241282216
158	0.2400681693
159	0.2388476912
160	0.2379036672
161	0.2355238379
162	0.2347308676
163	0.2329759894
164	0.2303750875
165	0.2287989663
166	0.2277272145
167	0.2260272525
168	0.2251240666
169	0.2238489018
170	0.2216777693
171	0.2195211391
172	0.2186225466
173	0.2169164903
174	0.2157197939
175	0.2143332484
176	0.2122597285
177	0.2111413278
178	0.2095486562
179	0.2090032823
180	0.2080580949
181	0.2072556078
182	0.2055321187
183	0.2037701057
184	0.2022287339
185	0.2012688199
186	0.1997634047
187	0.1992973332
188	0.1979945569
189	0.1967293469
190	0.1955678437
191	0.1950704859
192	0.1934851024
193	0.192778501
194	0.1913753314
