iter	Passed	Remaining
0	36	36701
1	60	30340
2	90	30026
3	119	29750
4	147	29297
5	173	28700
6	200	28433
7	227	28211
8	266	29333
9	297	29485
10	323	29111
11	348	28677
12	373	28322
13	398	28074
14	423	27781
15	458	28185
16	484	28008
17	508	27764
18	533	27530
19	557	27326
20	584	27253
21	607	26986
22	634	26933
23	659	26804
24	683	26639
25	709	26565
26	735	26517
27	760	26392
28	787	26353
29	808	26153
30	831	26004
31	856	25899
32	882	25874
33	908	25803
34	932	25700
35	956	25605
36	981	25542
37	1006	25471
38	1034	25502
39	1060	25454
40	1087	25429
41	1111	25350
42	1136	25282
43	1163	25284
44	1189	25250
45	1216	25227
46	1258	25508
47	1318	26147
48	1358	26365
49	1389	26394
50	1420	26432
51	1451	26462
52	1482	26496
53	1505	26371
54	1529	26285
55	1556	26245
56	1583	26196
57	1604	26063
58	1633	26048
59	1658	25979
60	1684	25930
61	1709	25857
62	1738	25849
63	1768	25861
64	1800	25903
65	1831	25914
66	1859	25900
67	1887	25872
68	1914	25826
69	1941	25794
70	1968	25760
71	1995	25716
72	2019	25647
73	2045	25591
74	2067	25498
75	2097	25500
76	2122	25447
77	2149	25405
78	2176	25377
79	2204	25347
80	2233	25337
81	2264	25353
82	2295	25364
83	2320	25303
84	2348	25275
85	2376	25260
86	2400	25192
87	2424	25130
88	2446	25046
89	2470	24979
90	2490	24881
91	2514	24815
92	2538	24760
93	2564	24718
94	2591	24689
95	2615	24629
96	2641	24592
97	2668	24559
98	2695	24532
99	2722	24498
100	2749	24469
101	2778	24459
102	2806	24441
103	2831	24396
104	2857	24360
105	2883	24316
106	2911	24300
107	2942	24299
108	2971	24287
109	2997	24250
110	3022	24211
111	3048	24169
112	3074	24135
113	3103	24116
114	3129	24084
115	3153	24034
116	3184	24033
117	3209	23992
118	3237	23966
119	3264	23943
120	3289	23894
121	3318	23879
122	3346	23858
123	3373	23831
124	3400	23802
125	3425	23762
126	3450	23717
127	3476	23684
128	3503	23653
129	3524	23588
130	3549	23547
131	3574	23507
132	3602	23481
133	3628	23452
134	3651	23396
135	3690	23447
136	3715	23405
137	3741	23372
138	3766	23330
139	3790	23287
140	3817	23255
141	3843	23224
142	3870	23197
143	3902	23198
144	3939	23227
145	3977	23265
146	4017	23311
147	4054	23339
148	4087	23347
149	4115	23321
150	4137	23262
151	4157	23197
152	4177	23125
153	4198	23064
154	4221	23014
155	4252	23008
156	4276	22961
157	4298	22905
158	4320	22850
159	4342	22798
160	4365	22747
161	4387	22696
162	4414	22670
163	4440	22633
164	4465	22597
165	4494	22581
166	4519	22542
167	4550	22535
168	4578	22514
169	4608	22498
170	4642	22508
171	4669	22480
172	4695	22444
173	4721	22413
174	4746	22377
175	4772	22344
176	4794	22292
177	4819	22255
178	4847	22232
179	4875	22210
180	4902	22184
181	4927	22148
182	4955	22121
183	4981	22089
184	5007	22058
185	5031	22018
186	5060	22002
187	5085	21967
188	5110	21927
189	5139	21908
190	5167	21885
191	5191	21848
192	5219	21824
193	5244	21788
194	5270	21757
195	5295	21721
196	5322	21694
197	5350	21670
198	5379	21651
199	5404	21618
200	5431	21590
201	5461	21573
202	5487	21544
203	5517	21529
204	5546	21509
205	5571	21476
206	5599	21452
207	5624	21417
208	5647	21373
209	5673	21342
210	5700	21314
211	5724	21277
212	5748	21241
213	5775	21211
214	5798	21170
215	5822	21134
216	5844	21089
217	5870	21058
218	5898	21034
219	5924	21006
220	5951	20978
221	5979	20956
222	6015	20959
223	6043	20937
224	6073	20919
225	6100	20894
226	6134	20889
227	6164	20872
228	6195	20859
229	6224	20837
230	6255	20825
231	6284	20805
232	6328	20832
233	6362	20828
234	6409	20864
235	6442	20856
236	6480	20863
237	6506	20831
238	6549	20855
239	6577	20829
240	6607	20809
241	6635	20785
242	6674	20791
243	6702	20766
244	6729	20738
245	6756	20707
246	6779	20669
247	6807	20641
248	6842	20638
249	6870	20611
250	6896	20579
251	6922	20546
252	6946	20510
253	6972	20478
254	7000	20451
255	7026	20419
256	7051	20387
257	7078	20356
258	7104	20326
259	7131	20297
260	7157	20265
261	7184	20237
262	7207	20196
263	7232	20162
264	7257	20130
265	7289	20113
266	7312	20076
267	7335	20034
268	7363	20010
269	7388	19976
270	7416	19949
271	7443	19922
272	7468	19888
273	7493	19855
274	7519	19824
275	7542	19786
276	7568	19754
277	7593	19722
278	7618	19688
279	7641	19649
280	7664	19610
281	7690	19579
282	7715	19547
283	7740	19514
284	7762	19475
285	7784	19434
286	7809	19400
287	7834	19368
288	7875	19375
289	7911	19369
290	7937	19338
291	7962	19306
292	7988	19276
293	8014	19245
294	8039	19214
295	8065	19183
296	8093	19156
297	8124	19139
298	8155	19120
299	8184	19096
300	8214	19075
301	8241	19048
302	8269	19022
303	8301	19005
304	8334	18992
305	8361	18964
306	8388	18936
307	8417	18911
308	8447	18889
309	8474	18863
310	8499	18829
311	8527	18804
312	8555	18779
313	8584	18754
314	8610	18724
315	8634	18690
316	8664	18667
317	8693	18645
318	8721	18619
319	8749	18593
320	8777	18567
321	8805	18541
322	8835	18517
323	8865	18497
324	8892	18468
325	8917	18437
326	8949	18418
327	8975	18389
328	8997	18350
329	9025	18324
330	9053	18298
331	9078	18266
332	9104	18236
333	9130	18206
334	9157	18178
335	9185	18152
336	9211	18122
337	9239	18096
338	9264	18064
339	9290	18034
340	9316	18005
341	9356	18002
342	9386	17978
343	9416	17957
344	9444	17931
345	9476	17911
346	9502	17882
347	9531	17858
348	9559	17831
349	9584	17800
350	9611	17771
351	9635	17737
352	9657	17700
353	9683	17670
354	9708	17639
355	9735	17610
356	9759	17578
357	9785	17549
358	9812	17520
359	9838	17490
360	9867	17466
361	9892	17434
362	9918	17405
363	9945	17377
364	9974	17353
365	10019	17355
366	10048	17331
367	10072	17298
368	10099	17270
369	10128	17245
370	10158	17222
371	10184	17193
372	10208	17160
373	10235	17132
374	10260	17100
375	10285	17069
376	10312	17041
377	10338	17011
378	10366	16985
379	10407	16980
380	10440	16963
381	10479	16954
382	10520	16948
383	10551	16926
384	10573	16890
385	10600	16862
386	10631	16839
387	10659	16812
388	10694	16798
389	10717	16763
390	10741	16729
391	10765	16696
392	10789	16664
393	10812	16630
394	10834	16595
395	10860	16564
396	10882	16529
397	10915	16509
398	10951	16495
399	10981	16472
400	11014	16452
401	11045	16431
402	11072	16402
403	11102	16379
404	11133	16356
405	11166	16337
406	11213	16338
407	11261	16340
408	11282	16303
409	11305	16269
410	11342	16254
411	11364	16219
412	11390	16189
413	11412	16153
414	11438	16123
415	11464	16094
416	11498	16075
417	11533	16059
418	11566	16038
419	11595	16013
420	11623	15985
421	11648	15954
422	11675	15926
423	11707	15904
424	11742	15886
425	11769	15858
426	11792	15824
427	11815	15790
428	11835	15753
429	11856	15716
430	11877	15680
431	11897	15642
432	11916	15604
433	11940	15571
434	11961	15536
435	11985	15504
436	12012	15476
437	12042	15452
438	12076	15432
439	12100	15400
440	12128	15373
441	12163	15355
442	12188	15325
443	12214	15296
444	12240	15266
445	12263	15233
446	12290	15204
447	12318	15178
448	12343	15147
449	12372	15121
450	12399	15093
451	12433	15073
452	12467	15054
453	12494	15026
454	12525	15002
455	12554	14977
456	12580	14947
457	12607	14920
458	12633	14890
459	12659	14860
460	12685	14831
461	12710	14801
462	12734	14770
463	12764	14745
464	12791	14717
465	12819	14690
466	12847	14662
467	12876	14637
468	12903	14609
